hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIFJQRKM,Premium 336 Resort International Airport Delhi,Kapashera,Delhi,,,hotel,,4049,INR,144,1.6
OICKKESZ,Rooms 592 Deer Park,SFE,Unknown,,,hotel,,1349,INR,7398,5.0
OIJUCFFU,Rooms 698 Paharganj NDLS,"Arakashan Road,Pahargankj",Unknown,,,hotel,,2649,INR,7,1.0
OICHKEGO,Rooms 697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",Unknown,,,hotel,,2399,INR,127,1.5
OIGVQQZN,Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Unknown,,,hotel,,2599,INR,161,1.6
OILDAUXP,Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Unknown,,,hotel,,2449,INR,69,1.3
OIIRYHEB,Rooms 676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Unknown,,,hotel,,4199,INR,107,1.4
OIYCMGPO,Rooms 591 Hauz Khas Village,SDA,Unknown,,,hotel,,2249,INR,77,1.3
OITVHVDZ,Rooms 555 Pitampura,"Rajdhani Enclave,Pitampura",Unknown,,,hotel,,3099,INR,130,1.5
OIKOLWDT,Rooms 545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Unknown,,,hotel,,3399,INR,24,1.1
OIZOFCCC,Rooms 547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Unknown,,,hotel,,5649,INR,129,1.5
OIGBDOCG,Rooms 354 GK2 M Block Market,"E Block,Greater Kailash II",Unknown,,,hotel,,3849,INR,1,1.0
OIAIUXEN,Rooms 498 South Ex Market,"C Block, South Extension 1",Unknown,,,hotel,,2099,INR,35,1.1
OIRTHASD,Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",Unknown,,,hotel,,3599,INR,22,1.1
OIVTOXCJ,Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,,,hotel,,3399,INR,16,1.1
OIQRCNXZ,Premium 208 GK 1 M Block Market,Greater Kailash,Unknown,,,hotel,,2549,INR,23,1.1
OIRDMHMR,Rooms 091 WEA Karol Bagh,Karol Bagh,Unknown,,,hotel,,3049,INR,104,1.4
OIBDHRRQ,Rooms 124 Kirti Nagar,Kirti Nagar,Unknown,,,hotel,,3599,INR,588,3.4
OIDJIXAO,Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Unknown,,,hotel,,2199,INR,1875,5.0
OIJYHWUA,Rooms 039,Paharganj,Unknown,,,hotel,,3049,INR,995,5.0
OIOTWVLR,Homes 330 New Friends Colony,Friends Colony East,Unknown,,,hotel,,2299,INR,1144,5.0
OIIQCXPR,Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi,,,hotel,,2149,INR,2051,5.0
OIKTQTXS,Rooms 031,"National Highway No. 8, Mahipalpur",Unknown,,,hotel,,2549,INR,644,3.6
OIWHPSIX,Rooms 437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Unknown,,,hotel,,4949,INR,34,1.1
OIPVLKKE,Rooms 541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Unknown,,,hotel,,2199,INR,664,3.7
OIXPIXPM,Rooms 079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,,,hotel,,3399,INR,119,1.5
OICHOTCR,Rooms 190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",Unknown,,,hotel,,1649,INR,477,2.9
OIXPQZNE,Rooms 506 GK 1 Market,Greater Kailash 1,Unknown,,,hotel,,1799,INR,589,3.4
OIGJVNSJ,Rooms 540,Dakshini Pitampura,Unknown,,,hotel,,1649,INR,470,2.9
OIMYWPGR,Rooms 051 New Friends Colony Market,New Friends Colony,Unknown,,,hotel,,3799,INR,465,2.9
OICPLMTY,Premium 586,"Outer Ring Road, Meera Bagh",Unknown,,,hotel,,1649,INR,711,3.8
OIOMTJCW,Premium 311 Ring Road GK1 2,Greater Kailash 1,Unknown,,,hotel,,2299,INR,16,1.1
OIMXHSGL,Rooms 028 Friends Hospital NFC,Maharani Bagh,Unknown,,,hotel,,2049,INR,2617,5.0
OIHLUJHV,Rooms 082 Patel Nagar Main Market,Main Market,Unknown,,,hotel,,1699,INR,3524,5.0
OIATTJKX,Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,Unknown,,,hotel,,1799,INR,253,2.0
OIYZJIQF,Rooms 566 Saket J Block,"Opposite J Block Market, Saket",Unknown,,,hotel,,5999,INR,429,2.7
OIOHFVEF,Rooms 157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi,,,hotel,,1599,INR,1457,5.0
OILQJPDK,Rooms 184 Aerodrome,"Mahipalpur, NH-8, Near IGI Airport",Unknown,,,hotel,,2299,INR,1144,5.0
OILKLMFQ,Premium 069 Patel Nagar,Metro Pillar No. 162,Unknown,,,hotel,,2049,INR,74,1.3
OIJCCMJA,Rooms 524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",Delhi,,,hotel,,1599,INR,2664,5.0
OIALNLBF,Rooms 205 Dwarka Sector 12 Metro Station,Dwarka,Unknown,,,hotel,,3799,INR,207,1.8
OIEGEGWE,Premium 405 GK1,Greater Kailash -1,Unknown,,,hotel,,2049,INR,1360,5.0
OIEASSOM,Rooms 535 Chattarpur,Chandan Hola,Unknown,,,hotel,,4199,INR,69,1.3
OIDTXFOV,Rooms 321,Paharganj,Unknown,,,hotel,,1799,INR,2655,5.0
OIKWXHRE,Rooms 219 Grace Church NFC,Kirokli,Unknown,,,hotel,,2999,INR,360,2.4
